epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,9142.5,2.48184,1.67326,1.21486,0.47097,0.43084,0.36714,0.09719,2.49811,1.61287,1.20775,0.0002708,0.0002708,0.0002708
133,9207.68,2.47911,1.68778,1.22502,0.45641,0.42219,0.35591,0.09491,2.50254,1.62843,1.20785,0.0002576,0.0002576,0.0002576
134,9272.94,2.47328,1.68483,1.22432,0.48128,0.45119,0.38617,0.10377,2.49094,1.58566,1.20762,0.0002444,0.0002444,0.0002444
135,9343.05,2.47076,1.68831,1.21977,0.47019,0.45214,0.38236,0.10239,2.49019,1.59748,1.20352,0.0002312,0.0002312,0.0002312
136,9409.23,2.47098,1.67623,1.21921,0.46287,0.43344,0.36914,0.09761,2.48734,1.61187,1.20254,0.000218,0.000218,0.000218
137,9475.11,2.46439,1.66746,1.21097,0.47449,0.447,0.38072,0.10014,2.49983,1.6051,1.20527,0.0002048,0.0002048,0.0002048
138,9542.34,2.47787,1.67607,1.22247,0.47787,0.4301,0.3753,0.10219,2.48335,1.59798,1.20342,0.0001916,0.0001916,0.0001916
139,9608.56,2.48207,1.67139,1.20868,0.4888,0.45923,0.39171,0.10697,2.47747,1.58231,1.20171,0.0001784,0.0001784,0.0001784
140,9678.06,2.4679,1.68346,1.22407,0.48503,0.45599,0.38806,0.10593,2.47855,1.58827,1.2026,0.0001652,0.0001652,0.0001652
141,9750.28,2.38807,1.71049,1.26172,0.49012,0.45504,0.38994,0.10592,2.48503,1.58997,1.20513,0.000152,0.000152,0.000152
142,9816.51,2.37615,1.67582,1.27155,0.48803,0.45856,0.39051,0.10503,2.48201,1.58688,1.20375,0.0001388,0.0001388,0.0001388
143,9876.26,2.3679,1.65836,1.25322,0.49188,0.45207,0.38926,0.10449,2.48265,1.58673,1.20348,0.0001256,0.0001256,0.0001256
144,9937.34,2.35999,1.63724,1.24598,0.50054,0.46755,0.40172,0.10812,2.48125,1.56679,1.20509,0.0001124,0.0001124,0.0001124
145,9998.85,2.37239,1.64317,1.2557,0.49713,0.45937,0.39775,0.10817,2.47697,1.56769,1.20314,9.92e-05,9.92e-05,9.92e-05
146,10064.5,2.35863,1.63763,1.24984,0.49767,0.45853,0.39848,0.10875,2.47562,1.56907,1.20294,8.6e-05,8.6e-05,8.6e-05
147,10132.2,2.37696,1.63536,1.24038,0.50168,0.45802,0.40197,0.1089,2.46906,1.57172,1.19895,7.28e-05,7.28e-05,7.28e-05
148,10195.5,2.3687,1.63389,1.25264,0.50391,0.46092,0.40465,0.11104,2.46788,1.56396,1.20156,5.96e-05,5.96e-05,5.96e-05
149,10262.3,2.36026,1.6272,1.24556,0.50943,0.46856,0.40874,0.1125,2.46397,1.55507,1.20098,4.64e-05,4.64e-05,4.64e-05
150,10327.7,2.35154,1.61771,1.24244,0.50758,0.46579,0.4085,0.11284,2.4645,1.55719,1.20135,3.32e-05,3.32e-05,3.32e-05
